_id,author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
642b43b10fef451bfdd77b2a,null,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]","Bitcoin, USDC stablecoin rally after US intervenes on SVB  Reuters.com",20230313T00:55:00Z,googlenews,Google News,"Bitcoin, USDC stablecoin rally after US intervenes on SVB  Reuters.com",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvYml0Y29pbi11c2RjLXN0YWJsZWNvaW4tcmFsbHktYWZ0ZXItdXMtaW50ZXJ2ZW5lcy1zdmItMjAyMy0wMy0xMy_SAQA?oc%3D5&gl=FR&hl=enUS&cm=2&pc=n&src=1,null
642b43b10fef451bfdd77b2b,null,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]",Bitcoin steadies near lows hit after fall of Silvergate  Reuters.com,20230309T11:10:00Z,googlenews,Google News,Bitcoin steadies near lows hit after fall of Silvergate  Reuters.com,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvYml0Y29pbi1zdGVhZGllcy1uZWFyLWxvd3MtaGl0LWFmdGVyLWZhbGwtc2lsdmVyZ2F0ZS0yMDIzLTAzLTA5L9IBAA?oc%3D5&gl=FR&hl=enUS&pc=n&src=1,null
642b43b10fef451bfdd77b2c,null,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]",Bitcoin rises to highest level since June 2022  Reuters,20230314T13:22:00Z,googlenews,Google News,Bitcoin rises to highest level since June 2022  Reuters,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvY3VycmVuY2llcy9iaXRjb2luLXJpc2VzLWhpZ2hlc3QtbGV2ZWwtc2luY2UtanVuZS0yMDIyLTIwMjMtMDMtMTQv0gEA?oc%3D5&gl=FR&hl=enUS&cm=2&pc=n&src=1,null
642b43b10fef451bfdd77b2d,null,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]",Bitcoin near 9month high as bank turmoil sparks rally  Reuters.com,20230320T06:52:00Z,googlenews,Google News,Bitcoin near 9month high as bank turmoil sparks rally  Reuters.com,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvY3VycmVuY2llcy9iaXRjb2luLW5lYXItOS1tb250aC1oaWdoLWJhbmstdHVybW9pbC1zcGFya3MtcmFsbHktMjAyMy0wMy0yMC_SAQA?oc%3D5&gl=FR&hl=enUS&cm=2&pc=n&src=1,null
642b43b10fef451bfdd77b2e,null,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]","Cryptoverse: Hooked on growth, bitcoin investors turn to smart tokens  Reuters",20230307T06:16:00Z,googlenews,Google News,"Cryptoverse: Hooked on growth, bitcoin investors turn to smart tokens  Reuters",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvY3J5cHRvdmVyc2UtaG9va2VkLWdyb3d0aC1iaXRjb2luLWludmVzdG9ycy10dXJuLXNtYXJ0LXRva2Vucy0yMDIzLTAzLTA3L9IBAA?oc%3D5%26hl%3DenCA%26gl%3DCA%26ceid%3DCA:en&gl=FR&hl=enCA&pc=n&src=1,null
642b43b10fef451bfdd77b2f,insider@insider.com (Carla Mozée),"Bitcoin pushed higher Wednesday, sustaining its advance alongside other risk assets after the strongest official  manufacturing print in a decade out of China kickstarted trading in March. 
The worl… [+2631 chars]",Bitcoin has surged by more than 40% so far in 2023 and started off March on stronger footing.,20230301T15:48:21Z,businessinsider,Business Insider,Bitcoin edges higher after dismal February for risk assets as investors assess rate outlook and new China data,https://markets.businessinsider.com/news/currencies/bitcoinpricecryptostockschinamanufacturingdatariskassetscopper20233,https://i.insider.com/63ff5968494c7a0019f21cb0?width=1200&format=jpeg
642b43b10fef451bfdd77b30,prosen@insider.com (Phil Rosen),"Bitcoin has stormed to a 72% gain over the last three months and is on track for its strongest quarter in two years.
The token has outperformed both the Nasdaq 100 and gold, which are up 15% and 9%,… [+1167 chars]","The world's largest cryptocurrency is enjoying massive gains even though just a few months ago, some experts warned of a further crash.",20230329T13:10:39Z,businessinsider,Business Insider,"Bitcoin storms toward its strongest quarter in 2 years with a 72% jump, outperforming the Nasdaq and gold",https://markets.businessinsider.com/news/currencies/bitcoinpricetodayq1nasdaqgoldfedratehikescrypto20233,https://i.insider.com/6424307ded593e00183f0aad?width=1200&format=jpeg
642b43b10fef451bfdd77b31,ztayeb@businessinsider.com (Zahra Tayeb),"Wharton professor Jeremy Siegel has weighed in on bitcoin's recent rally, spurred on by the recent banking crisis. 
""My feeling is when people feel they're safe in the banks again, bitcoin will go b… [+1226 chars]",,20230322T13:38:59Z,businessinsider,Business Insider,"Jeremy Siegel says bitcoin's rush higher will fizzle out once people trust banks again",https://markets.businessinsider.com/news/currencies/jeremysiegelbitcoincryptorallywillfadebankingcrisis20233,https://i.insider.com/52ed527cecad049a6d4ad89c?width=1200&format=jpeg
642b43b10fef451bfdd77b32,mchittum@insider.com (Morgan Chittum),"Bitcoin jumped to a nearly ninemonth high on Tuesday as traders mulled over key inflation data that could bolster odds the Federal Reserve will slow interest rate hikes. 
The rally follows the rele… [+1992 chars]","Bitcoin soared to $26,500 shortly after the CPI report was released, surging more than 15% to hit a multimonth high.",20230314T15:32:23Z,businessinsider,Business Insider,Bitcoin notches 9month high after inflation data bolsters speculation of smaller rate hike,https://markets.businessinsider.com/news/currencies/bitcoinpricecryptomarketoutlookinflationdatacpiinterestrates20233,https://i.insider.com/63cea91bb9a04b0019eda8e3?width=1200&format=jpeg
642b43b10fef451bfdd77b33,mfox@businessinsider.com (Matthew Fox),Bitcoin surged as much as 4% on Monday amid fears of an ongoing banking crisis that started with the downfall of Silicon Valley Bank earlier this month and has now led to the takeover of Credit Suiss… [+2301 chars],"Fundstrat said bitcoin's outperformance is a testament to its ""outright resiliency"" when you consider the failures of Signature Bank and Silvergate.",20230320T13:46:19Z,businessinsider,Business Insider,Bitcoin soars to a 9month high after Credit Suisse takeover fails to calm banking fears,https://markets.businessinsider.com/news/currencies/bitcoinprice9monthhighcreditsuisseubsbankcrisis20233,https://i.insider.com/64185980718b5300194b17d2?width=1200&format=jpeg
